Sigla,Nome,Tipo,Dividendo (%),Patrimônio (R$),VPA (R$),V/VPA,Valor (R$),Cotas,Max52 (R$),Min52 (R$),Valorização (%/ano)
MBRF11,Mercantil do Brasil,Tijolo: Escritórios,0.70,130.58 M,1284.40,0.9961460604173155,1279.45,101664,1440.00,801.01,2.77
CPFF11,Capitania Reit FoF,Papel: Fundo de Fundos,0.37,199.13 M,82.97,0.9698686272146559,80.47,2400000,112.00,52.00,26.07
BARI11,Barigui Rendimento Imobiliários I,Papel: CRIs,0.64,220.11 M,98.52,0.9946203816483963,97.99,2234191,115.50,67.00,9.86
SDIL11,SDI Logística Rio,Tijolo: Galpões,0.45,455.32 M,95.45,1.0292299633315871,98.24,4770100,159.99,58.70,13.77
HABT11,Habitat II FII,Papel: CRIs,0.70,383.73 M,100.23,0.995709867305198,99.80,3828572,129.49,75.61,0.21
RBRP11,RBR Properties,Tijolo: Escritórios,0.47,716.19 M,83.74,1.0617387150704563,88.91,8552712,105.50,43.20,1.61
RECT11,UBS (BR) Office,Indefinido,0.82,534.48 M,98.37,1.0074209616753074,99.10,5433591,129.92,69.04,2.47
BBVJ11,BB Votorantim Cidade Jardim Continental Tower,Tijolo: Escritórios,0.58,156.53 M,57.76,0.986842105263158,57.00,2710000,71.00,42.00,1.72
KNHY11,Kinea High Yield CRI,Papel: CRIs,0.28,1.15 B,107.19,0.9935628323537644,106.50,10690843,139.49,82.50,10.50
FAED11,Anhanguera Educacional,Tijolo: Educacional,0.61,131.66 M,205.03,1.0266790225820612,210.50,642168,308.48,130.11,12.07
OUJP11,OURINVEST JPP,Papel: CRIs,0.59,196.22 M,102.20,1.0371819960861057,106.00,1919995,123.50,47.00,0.75
NPAR11,Nestpar,Papel: CRIs,0.87,14.49 M,125.36,0.8999680918953413,112.82,115571,141.00,100.01,7.49
CPTS11B,Capitania Securities II,Papel: CRIs,0.68,298.60 M,95.86,1.0014604631754642,96.00,3115025,120.00,66.33,4.00
HGPO11,CSHG Prime Offices,Tijolo: Escritórios,0.42,335.68 M,203.44,1.034703106567047,210.50,1650000,230.29,156.00,16.29
FTCE11B,Opportunity,Híbrido (Tijolo/Papel),6.73,1.93 B,2444.75,1.0001022599447795,2445.00,789482,3000.01,2445.00,18.50
BPRP11,FII BRLPROP,Tijolo: Galpões,0.75,139.93 M,103.66,0.9667181169207023,100.21,1349837,109.99,90.00,6.14
FAMB11B,Edifício Almirante Barroso,Tijolo: Escritórios,0.90,365.82 M,3490.66,1.0270435963399471,3585.06,104800,3997.94,1980.00,29.28
ABCP11,Grand Plaza Shopping,Tijolo: Shoppings,0.54,1.05 B,85.64,1.0511443250817374,90.02,12203833,109.90,65.01,16.82
FCFL11,Campus Faria Lima,Tijolo: Educacional,0.47,354.36 M,106.10,1.0117813383600378,107.35,3340000,150.13,90.12,6.65
VVPR11,V2 Properties,Tijolo: Escritórios,0.60,189.85 M,100.32,1.0316985645933014,103.50,1892380,119.90,71.05,8.41
BICR11,Inter Títulos Imobiliários,Papel: CRIs,0.32,49.87 M,99.73,0.9981951268424746,99.55,500000,200.00,86.10,24.58
XPCM11,XP Corporate Macaé,Tijolo: Escritórios,1.37,148.41 M,61.46,1.0063455906280507,61.85,2414570,104.00,35.00,35.77
HGCR11,CSHG Recebíveis Imobiliários,Papel: CRIs,0.52,1.29 B,104.07,1.031997693859902,107.40,12372450,136.99,70.00,8.21
HGFF11,CSHG Imobiliário FOF,Papel: Fundo de Fundos,0.50,170.44 M,94.69,1.060830077093674,100.45,1800000,124.98,49.88,3.13
RBRD11,RB Capital Renda II,Tijolo: Varejo,1.15,148.56 M,80.23,1.1465785865636295,91.99,1851786,112.75,45.01,7.07
RBTS11,RB Capital TFO Situs,Tijolo: Desenvolvimento,0.00,55.22 M,976.84,1.0237091028213423,1000.00,56525,1000.00,1000.00,0.00
BREV11,Brazil Real Estate Victory Fund I,Tijolo: Escritórios,0.33,66.89 M,107.41,1.0241132110604227,110.00,622742,110.00,110.00,0.00
KNIP11,Kinea Índice de Preços,Papel: CRIs,0.36,3.58 B,109.08,1.0084341767510085,110.00,32801764,122.60,75.05,5.98
VTLT11,Votorantim Logística,Tijolo: Galpões,0.67,213.43 M,100.91,1.0702606282826281,108.00,2115000,128.50,70.20,7.57
KFOF11,Kinea FII,Papel: Fundo de Fundos,0.41,375.17 M,104.26,1.04143487435258,108.58,3598419,160.00,70.00,3.41
LGCP11,LOGCP Inter,Tijolo: Galpões,0.47,170.04 M,96.46,1.036699149906697,100.00,1762843,131.44,73.81,2.91
UBSR11,UBS (BR) Recebíveis Imobiliários,Papel: CRIs,0.70,665.58 M,97.07,1.0312145874111467,100.10,6856389,115.39,62.00,5.57
RBRR11,RBR Rendimento High Grade,Papel: CRIs,0.54,677.01 M,97.52,1.0461443806398687,102.02,6942557,113.10,61.38,3.62
ATSA11,Hedge Atrium Shopping Santo André,Tijolo: Shoppings,0.22,190.29 M,110.94,1.0365963583919235,115.00,1715200,140.00,95.01,5.99
CRFF11,Caixa Rio Bravo II,Papel: Fundo de Fundos,0.44,61.34 M,88.89,1.0124873439082012,90.00,690040,114.99,75.00,0.29
BCRI11,Banestes Recebíveis Imobiliários,Papel: CRIs,0.61,314.62 M,105.61,1.0385380172332166,109.68,2978993,133.92,66.00,5.45
OUFF11,Ourinvest Fundo de Fundos,Papel: Fundo de Fundos,0.74,62.04 M,92.37,1.0999242178196382,101.60,671598,114.50,60.00,1.60
GGRC11,GGR Covepi Renda,Tijolo: Galpões,0.54,772.54 M,118.80,1.1069023569023568,131.50,6503028,153.17,83.50,2.48
HCTR11,Hectare CE FII,Papel: CRIs,0.93,219.05 M,113.86,1.0528719480063236,119.88,1923846,177.60,85.00,7.81
XPIN11,XP Industrial,Tijolo: Galpões,0.48,723.95 M,109.91,1.0645073241743246,117.00,6586568,226.90,75.13,0.68
XPLG11,XP Log,Tijolo: Galpões,0.46,1.67 B,109.33,1.081496387084972,118.24,15269476,152.50,71.00,16.56
XPLG11,XP Log,Tijolo: Galpões,0.46,1.67 B,109.33,1.081496387084972,118.24,15269476,152.50,71.00,16.56
SHPH11,Shopping Patio Higienopolis,Tijolo: Shoppings,0.41,480.25 M,788.66,1.1246925164202572,887.00,608950,1036.06,690.02,3.80
BMLC11B,BM Brascan Lajes Corporativas,Tijolo: Escritórios,0.54,93.94 M,94.09,1.0521840790732278,99.00,998405,115.00,76.50,13.08
HLOG11,Hedge Logística,Tijolo: Galpões,0.51,171.90 M,110.91,1.1154088900910648,123.71,1550000,135.00,96.00,0.23
MXRF11,Maxi Renda,Papel: CRIs,0.64,1.26 B,10.25,1.071219512195122,10.98,122942210,14.99,7.71,6.55
BTLG11,BTG Pactual Logística,Tijolo: Galpões,0.47,338.43 M,99.99,1.0672067206720672,106.71,3384501,135.00,69.02,4.31
BPFF11,Brasil Plural Absoluto Fundo de Fundos,Papel: Fundo de Fundos,0.52,239.30 M,89.66,1.064131162168191,95.41,2668860,132.07,65.00,2.59
RBRF11,RBR Alpha Multiestratégia Real Estate,Papel: Fundo de Fundos,0.58,491.86 M,93.53,1.1001817598631456,102.90,5258752,142.50,57.72,2.74
KNRI11,Kinea Renda Imobiliária,Tijolo: Híbrido,0.38,3.76 B,159.39,1.0695150260367652,170.47,23600802,200.00,119.31,11.78
KNRI11,Kinea Renda Imobiliária,Tijolo: Híbrido,0.38,3.76 B,159.39,1.0695150260367652,170.47,23600802,200.00,119.31,11.78
MFII11,Mérito Desenvolvimento Imobiliário,Tijolo: Desenvolvimento,0.81,287.09 M,114.72,1.0917887029288702,125.25,2502613,139.55,83.50,11.93
RSPD11,RB Capital Desenvolvimento Residencial III,Tijolo: Desenvolvimento,0.00,38.77 M,1019.67,1.0787803897339336,1100.00,38025,1100.00,1000.00,0.00
VILG11,Vinci Logística,Tijolo: Galpões,0.43,790.27 M,112.27,1.0867551438496483,122.01,7038771,151.50,65.00,10.53
YCHY11,Yaguara Capital High Yield,Tijolo: Galpões,0.93,23.62 M,1012.71,1.076319973141373,1090.00,23319,1300.05,930.00,9.00
FIIB11,Industrial do Brasil,Tijolo: Galpões,0.35,289.31 M,422.36,1.137655080973577,480.50,685000,598.99,370.06,6.40
RBED11,Rio Bravo Renda Educacional,Tijolo: Educacional,0.59,267.60 M,149.73,1.125358979496427,168.50,1787281,186.00,115.12,5.87
FEXC11,BTG Pactual Fundo de CRI,Papel: CRIs,0.74,241.34 M,98.77,1.0933481826465525,107.99,2443535,123.98,60.00,6.79
LUGG11,Luggo,Tijolo: Desenvolvimento,0.47,86.37 M,95.97,1.103469834323226,105.90,900000,148.00,86.00,12.47
THRA11,Cyrela Thera Corporate,Tijolo: Escritórios,0.60,175.35 M,119.07,1.1001931636852273,131.00,1472728,164.96,102.33,1.51
VRTA11,Fator Verita,Papel: CRIs,0.65,504.48 M,104.01,1.087876165753293,113.15,4850490,155.74,75.00,18.46
BCFF11,BTG Pactual Fundo de Fundos,Papel: Fundo de Fundos,0.44,1.67 B,80.99,1.1112483022595383,90.00,20562973,118.92,49.98,4.06
BCFF11,BTG Pactual Fundo de Fundos,Papel: Fundo de Fundos,0.44,1.67 B,80.99,1.1112483022595383,90.00,20562973,118.92,49.98,4.06
KNRE11,Kiena II real Estate Equity,Tijolo: Desenvolvimento,5.80,74.25 M,4.00,1.1125,4.45,18547161,7.36,3.69,37.59
CXCE11B,Caixa Cedae,Tijolo: Escritórios,0.85,147.70 M,2155.69,1.1086937361123352,2390.00,68518,2835.00,1701.00,0.00
HGRU11,CSHG Renda Urbana,Tijolo: Educacional,0.53,1.05 B,107.71,1.1882833534490762,127.99,9740679,144.30,80.02,19.28
VLOL11,Vila Olímpia Corporate,Tijolo: Escritórios,0.59,162.02 M,90.78,1.1538885217008152,104.75,1784828,124.79,79.10,3.92
LVBI11,VBI LOGÍSTICO,Tijolo: Galpões,0.48,774.49 M,102.75,1.2067153284671532,123.99,7537889,147.35,69.20,12.10
KINP11,Even Permuta Kinea,Tijolo: Desenvolvimento,1.31,72.74 M,10.18,1.149312377210216,11.70,7147934,24.00,10.01,16.43
RBVA11,Rio Bravo Renda Varejo,Tijolo: Bancário,0.60,1.34 B,125.20,1.1375399361022362,142.42,10693932,170.06,101.00,8.35
LOFT11B,LOFT I,Tijolo: Desenvolvimento,2.61,233.07 M,89.75,1.158774373259053,104.00,2596800,112.00,95.25,3.69
FLMA11,Continental Square Faria Lima,Tijolo: Escritórios,0.04,199.76 M,2.89,1.1833910034602075,3.42,69033500,6.49,2.22,3.93
MGFF11,Mogno Fundo de Fundos,Papel: Fundo de Fundos,0.61,649.26 M,82.73,1.1967847213828116,99.01,7847828,133.03,59.99,3.68
HFOF11,Hedge Top FOFII 3,Papel: Fundo de Fundos,0.79,1.54 B,97.15,1.170458054554812,113.71,15850000,130.00,80.00,9.21
TFOF11,Hedge TOP FOFII,Papel: Fundo de Fundos,3.57,102.52 M,120.54,1.1606105856976936,139.90,850530,176.00,80.00,4.40
BZLI11,Brazil Realty,Híbrido (Tijolo/Papel),0.00,422.49 M,11.86,1.2015177065767286,14.25,35633653,18.86,12.56,5.56
IRDM11,Iridium Recebíveis Imobiliários,Papel: CRIs,0.61,771.23 M,96.79,1.1917553466267174,115.35,7968099,144.50,90.00,1.67
GTWR11,Green Towers,Tijolo: Escritórios,0.58,1.18 B,98.16,1.2071108394458028,118.49,12000000,122.80,80.00,16.18
EDFO11B,Edifício Ourinvest,Tijolo: Escritórios,0.58,47.93 M,203.11,1.3045640293437055,264.97,236000,329.90,203.98,14.25
BRCO11,Bresco Logística,Tijolo: Galpões,0.45,1.21 B,95.98,1.3023546572202542,125.00,12566391,149.50,85.00,11.61
BNFS11,Banrisul Novas Fronteiras,Tijolo: Bancário,0.78,67.12 M,95.89,1.2985712795911981,124.52,700000,141.15,99.01,1.24
NSLU11,Hospital Nossa Senhora de Lourdes,Tijolo: Hospital,0.69,218.41 M,190.78,1.3182199391969809,251.49,1144800,260.00,190.74,3.27
DAMT11B,Diamante,Tijolo: Shoppings,0.00,104.49 M,1.06,1.3396226415094339,1.42,98831183,1.42,1.42,0.00
HBTT11,Habitat I,Papel: CRIs,0.46,170.61 M,946.73,1.3720913037508053,1299.00,180214,1950.00,1100.00,13.40
HCRI11,Hospital da Criança,Tijolo: Hospital,0.66,58.39 M,291.97,1.3699695174161728,399.99,200000,498.99,315.00,0.00
CXRI11,Caixa Rio Bravo,Papel: Fundo de Fundos,0.73,155.73 M,988.28,1.3917108511757803,1375.40,157576,1849.99,980.00,34.98
ALZR11,Alianza Trust Renda Imobiliária,Tijolo: Híbrido,0.45,270.79 M,94.65,1.3946117274167986,132.00,2860924,150.00,70.00,17.86
BBRC11,BB Renda Corporativa,Tijolo: Bancário,0.62,175.76 M,110.54,1.3679211145286774,151.21,1590000,156.02,91.05,12.84
HUSC11,Hospital Unimed Sul Capixaba,Tijolo: Hospital,0.43,72.65 M,100.09,1.3636726945748827,136.49,725821,161.56,106.50,11.94
HGLG11,CSHG Logística,Tijolo: Galpões,0.41,1.59 B,134.06,1.4210055199164553,190.50,11882212,221.98,107.50,25.75
HGLG11,CSHG Logística,Tijolo: Galpões,0.41,1.59 B,134.06,1.4210055199164553,190.50,11882212,221.98,107.50,25.75
NVHO11,Novo Horizonte,Tijolo: Hospital,0.50,325.14 M,7.84,1.4923469387755102,11.70,41494533,32.28,7.50,62.26
BBPO11,BB Progressivo II,Tijolo: Bancário,0.66,1.62 B,102.07,1.5649064367590868,159.73,15919690,171.99,115.00,12.60
BCIA11,Bradesco Carteira Imobiliária Ativa,Papel: Fundo de Fundos,0.38,190.78 M,112.91,1.7501549907005582,197.61,1689613,299.74,100.20,67.47
LATR11B,Lateres,Tijolo: Desenvolvimento,186.95,13.01 M,104.85,1.7167381974248928,180.00,124104,1000.00,180.00,48.58
RBDS11,RB Capital Desenvolvimento Residencial II,Tijolo: Desenvolvimento,4.73,2.89 M,22.85,1.7024070021881836,38.90,126523,225.80,25.25,79.53
PRSN11B,Personale I,Tijolo: Desenvolvimento,0.83,25.49 M,0.49,2.020408163265306,0.99,51699979,6.35,0.36,175.00
NCHB11,NCH Brasil Recebíveis Imobiliários,Papel: CRIs,0.05,10.81 M,87.92,18.198362147406733,1600.00,123000,0.00,0.00,0.00
TBOF11,TB Office,Tijolo: Escritórios,6.76,487.00 M,48.46,2.094510936855138,101.50,10050000,103.49,81.80,22.14
FISD11,São Domingos,Papel: CRIs,0.00,95.97 M,89.47,2.2724935732647813,203.32,1072588,0.00,0.00,0.00
